iter	Passed	Remaining
0	7	7432
1	13	6799
2	19	6544
3	26	6683
4	32	6537
5	39	6483
6	45	6427
7	51	6348
8	58	6454
9	65	6442
10	72	6501
11	78	6456
12	84	6405
13	91	6457
14	98	6468
15	105	6515
16	112	6497
17	118	6472
18	125	6484
19	131	6465
20	139	6524
21	146	6513
22	153	6533
23	160	6530
24	167	6536
25	174	6552
26	181	6535
27	188	6527
28	194	6512
29	202	6535
30	209	6557
31	219	6627
32	226	6649
33	234	6661
34	241	6660
35	249	6679
36	257	6689
37	264	6697
38	272	6716
39	279	6701
40	286	6710
41	294	6714
42	302	6729
43	308	6711
44	316	6722
45	325	6750
46	333	6753
47	340	6752
48	348	6769
49	355	6763
50	364	6786
51	372	6799
52	382	6843
53	390	6846
54	398	6845
55	405	6840
56	414	6857
57	422	6860
58	429	6843
59	435	6824
60	441	6793
61	447	6777
62	453	6751
63	460	6734
64	466	6715
65	471	6674
66	478	6663
67	484	6641
68	490	6620
69	497	6608
70	503	6588
71	510	6574
72	516	6564
73	524	6558
74	531	6551
75	538	6541
76	544	6532
77	551	6516
78	558	6509
79	564	6489
80	570	6471
81	577	6461
82	583	6447
83	589	6432
84	596	6426
85	603	6415
86	610	6408
87	617	6397
88	624	6390
89	630	6377
90	637	6366
91	644	6356
92	650	6346
93	657	6340
94	665	6337
95	671	6324
96	678	6313
97	684	6295
98	691	6288
99	698	6284
100	704	6275
101	712	6271
102	718	6259
103	726	6256
104	732	6244
105	740	6241
106	747	6237
107	754	6227
108	760	6214
109	766	6203
110	773	6197
111	780	6186
112	786	6175
113	793	6167
114	800	6157
115	806	6148
116	813	6140
117	820	6133
118	826	6121
119	833	6112
120	840	6106
121	846	6095
122	853	6087
123	860	6078
124	867	6070
125	873	6059
126	877	6028
127	884	6024
128	891	6017
129	897	6007
130	905	6003
131	911	5995
132	919	5991
133	925	5980
134	932	5973
135	939	5967
136	945	5958
137	953	5955
138	960	5947
139	967	5944
140	974	5937
141	980	5926
142	988	5921
143	995	5918
144	1002	5909
145	1009	5902
146	1015	5893
147	1022	5888
148	1029	5877
149	1036	5873
150	1042	5863
151	1049	5857
152	1056	5846
153	1062	5837
154	1069	5828
155	1075	5818
156	1082	5810
157	1088	5801
158	1094	5790
159	1101	5783
160	1108	5776
161	1115	5770
162	1121	5760
163	1128	5751
164	1134	5741
165	1140	5730
166	1147	5725
167	1153	5713
168	1160	5706
169	1167	5698
170	1173	5687
171	1180	5682
172	1186	5671
173	1192	5662
174	1199	5652
175	1205	5644
176	1212	5637
177	1218	5628
